localTime,channel,episodeTitle,episodeStartTime,episodeDescription,trackTitle,artistString,gender,hosts
2025-10-29 06:57:40+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Let's Dance To Joy Division,The Wombats,other,
2025-10-29 07:05:11+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Everything Now,Arcade Fire,other,Camilla Jane Lea
2025-10-29 07:10:12+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Sometimes Always,The Jesus And Mary Chain,other,Camilla Jane Lea
2025-10-29 07:12:53+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Messy,Lola Young,female,Camilla Jane Lea
2025-10-29 07:17:00+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",It's No Good,Depeche Mode,other,Camilla Jane Lea
2025-10-29 07:21:44+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Analysis Paralysis,Polite,,Camilla Jane Lea
2025-10-29 07:25:10+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Dracula,Tame Impala,male,Camilla Jane Lea
2025-10-29 07:29:12+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",davina mccall,Wet Leg,other,Camilla Jane Lea
2025-10-29 07:33:00+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Running Up That Hill (A Deal With God),Kate Bush,female,Camilla Jane Lea
2025-10-29 07:34:10+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Running Up That Hill (A Deal With God),Kate Bush,female,Camilla Jane Lea
